source	destination	distance_km	distance_mi
39	40	2014	1259
39	16	1938	1211
39	18	1129	706
39	15	1554	971
39	0	8085	5053
39	19	7205	4503
39	11	7804	4878
39	7	8067	5042
39	4	8087	5054
39	17	8446	5279
39	26	8338	5211
39	5	8365	5228
39	29	8427	5267
39	35	8569	5356
39	27	8720	5450
39	10	8395	5247
39	25	8687	5429
39	3	8776	5485
39	20	9012	5633
39	32	9009	5631
39	9	9515	5947
39	6	10736	6710
39	36	15930	9956
39	31	16004	10003
39	21	13435	8397
39	1	13817	8636
39	8	11921	7451
39	34	9634	6021
22	24	2793	1746
22	30	2958	1849
22	23	2963	1852
22	37	2804	1753
22	38	2336	1460
22	33	2722	1701
22	12	1291	807
22	39	1516	948
22	22	0	0
22	2	701	438
22	13	1144	715
22	40	973	608
22	16	925	578
22	18	948	593
22	15	1913	1196
22	0	8529	5331
22	19	5767	3604
22	11	6353	3971
22	7	6600	4125
22	4	6651	4157
22	17	7081	4426
22	26	6840	4275
22	5	6887	4304
22	29	6964	4353
22	35	7125	4453
22	27	7289	4556
22	10	6883	4302
22	25	7171	4482
22	3	7300	4563
22	20	7540	4713
22	32	7511	4694
22	9	7999	4999
22	6	10138	6336
22	36	14922	9326
22	31	15078	9424
22	21	14364	8978
22	1	14875	9297
22	8	13189	8243
22	34	8126	5079
2	24	3331	2082
2	30	3620	2263
2	23	3626	2266
2	37	3494	2184
2	38	3037	1898
2	33	3261	2038
2	12	1933	1208
2	39	2095	1309
2	22	701	438
2	2	0	0
2	13	550	344
2	40	537	336
2	16	547	342
2	18	1183	739
2	15	1988	1243
2	0	8270	5169
2	19	5117	3198
2	11	5713	3571
2	7	5973	3733
2	4	6001	3751
2	17	6402	4001
2	26	6250	3906
2	5	6271	3919
2	29	6333	3958
2	35	6480	4050
2	27	6637	4148
2	10	6331	3957
2	25	6638	4149
2	3	6681	4176
2	20	6917	4323
2	32	6921	4326
2	9	7484	4678
2	6	10349	6468
2	36	14811	9257
2	31	15007	9379
2	21	15038	9399
2	1	15567	9729
2	8	13886	8679
2	34	7556	4723
13	24	3871	2419
13	30	4102	2564
13	23	4107	2567
13	37	3936	2460
13	38	3444	2153
13	33	3360	2100
13	12	2202	1376
13	39	2282	1426
13	22	1144	715
13	2	550	344
13	13	0	0
13	40	273	171
13	16	348	218
13	18	1200	750
13	15	1756	1098
13	0	7757	4848
13	19	4962	3101
13	11	5570	3481
13	7	5853	3658
13	4	5837	3648
13	17	6166	3854
13	26	6188	3868
13	5	6166	3854
13	29	6202	3876
13	35	6323	3952
13	27	6464	4040
13	10	6322	3951
