source	destination	distance_km	distance_mi
8	30	10510	6569
8	23	10500	6563
8	37	10490	6556
8	38	10880	6800
8	33	10960	6850
8	12	11990	7494
8	39	11921	7451
8	22	13189	8243
8	2	13886	8679
8	13	14193	8871
8	40	13930	8706
8	16	13854	8659
8	18	13041	8151
8	15	12966	8104
8	0	12284	7678
8	19	18269	11418
8	11	18322	11451
8	7	18115	11322
8	4	18531	11582
8	17	19188	11993
8	26	17513	10946
8	5	17916	11198
8	29	18153	11346
8	35	18374	11484
8	27	18464	11540
8	10	16995	10622
8	25	16700	10438
8	3	17849	11156
8	20	17839	11149
8	32	17334	10834
8	9	16184	10115
8	6	8826	5516
8	36	8718	5449
8	31	8401	5251
8	21	2279	1424
8	1	2150	1344
8	8	0	0
8	34	16794	10496
34	24	8822	5514
34	30	9867	6167
34	23	9887	6179
34	37	10130	6331
34	38	9989	6243
34	33	10820	6763
34	12	9411	5882
34	39	9634	6021
34	22	8126	5079
34	2	7556	4723
34	13	7511	4694
34	40	7776	4860
34	16	7847	4904
34	18	8690	5431
34	15	9162	5726
34	0	10875	6797
34	19	2719	1699
34	11	2133	1333
34	7	1794	1121
34	4	2024	1265
34	17	2394	1496
34	26	1328	830
34	5	1452	908
34	29	1547	967
34	35	1636	1023
34	27	1676	1048
34	10	1262	789
34	25	1064	665
34	3	1143	714
34	20	1053	658
34	32	689	431
34	9	756	473
34	6	8199	5124
34	36	8414	5259
34	31	8725	5453
34	21	14594	9121
34	1	14943	9339
34	8	16794	10496
34	34	0	0
